Чему равен один пуд?|1280 лотам|1270 лотам|1260 лотам|1290 лотам
Книга Вислоцкой "Искусство любви" вышла в издательстве:|"Советский спорт"|"Высшая школа"|"Советский балет"|"Веселые картинки"
С каким счётом обыграла бразилия германию по футболу на чемпионате мира 2002|2-0|2-1|1- 0|3-1
Какой фильм поставлен по роману Стивена Кинга?|"Бегущий человек"|"Хищник"|"Вспомнить все"|"Терминатор"
Какому рыцарскому ордену принадлежал главный противник героя в романе В.Скотта "Айвенго", Бриан де Буагильбер?|Тамплиеры|Ионниты|Госпитальеры|Тевтонцы
Какой из перечисленных рыб не существует в природе?|Рыба-мышь|Рыба-собака|Рыба-зебра|Рыба-белка
Какой рок-музыкант первый исполнил партию Христа?|Ян гиллан|Элтон Джон|Джон Леннон|Алан Прайс
Какой город был столицей Карла Великого?|Ахен|Марсель|Тулуза|Париж
Какой день отмечается 1 июня?|День защиты детей|День книги|День граненого стакана|День рождения А.Пушкина
Какое имя eфамилияk принадлежит и знаменитому итальянскому артисту и одной из известных компьютерных программ?|Вентура|Дум|Эксель|Юникс
Какое отношение имеет французский композитор Родольф Крейцер к "Крейцеровой Сонате"?|Получил в подарок|Просто совпадение|Заказал Бетховену|Сам написал
Какая страна является родиной плавленых сыров, которые были изобретены там в 1911 году?|Швейцария|Германия|Франция|Дания
Какое из перечисленных изобретений не принадлежит Томасу Эдисону?|Динамо-машина|Аккумулятор|Микрофон|Кинокамера
Как ныне называется город Александрия, основанный в Египте А.Македонским в 332 г до н.э.?|Так и называется|Каир|Там одни руины|Триполи
Как утверждает статистика, если у француза нет одного глаза. то, скорее всего, - это результат любви к:|Шампанскому|Бильярду|Стендовой стрельбе|Женщинам
Как называется звезда,  альфа созвездия Эридан?|Ахернар|Полярная звезда|Персей|Андромеда
Как назывался корабль Хана Соло?|"Тысячелетний сокол"|"Звездный ястреб"|"Имперский дракон"|"Черная молния"
Именно эти две женщины-реки изображены на ростральных колоннах:|Нева и волга|Онега и волга|Нева и онега|Волга и днепр
Как звали сестру Бени Крика, которую в рассказе И.Бабеля "Король" он выдавал замуж за хилого и плаксивого вора?|Двойра|Хава|Фрума|Циля
Именно в этом фильме герой произносит крылатую фразу: "Баба-шпион!?"|"Щит и меч"|"Семнадцать мгновений весны"|"Сатурн почти не виден"|"Белый клык"
Именно эта женщина придумала праздник 8 марта:|Клара Цеткин|Роза Люксембург|Мария Ульянова|Инесса Арманд
Из какого произведения знаменитая цитата "Отделять овец от козлищ"?|"Евангелие от Матфея"|Гомер "Илиада"|Книга Екклесиаста|Шекспир "Ромео и Джульетта"
Если при падении атмосферного давления кривая судового барографа обращена выпуклостью кверху, то следует ожидать:|Свежего ветра|Штиля|Улучшения погоды|Макаронов на обед
Где находится Сандрагуптов столб, изготовленный в 4 веке из практически чистого железа?|Дели|Акапулько|Озеро ньяса|Стоунхэндж
Во времена военного коммунизма не создали только одно из этих учреждений:|Главсвинина|Главмаргарин|Главрыба|Главкость
В штате Оклахома США преследуется по закону, если гражданин штата вздумает:|Поить допьяна рыб|Жениться на обезьяне|Давать курить птицам|Давать наркотики бегемотам
В румбовой системе счёта направлений истинный горизонт e360 градусовk делится:|На 32 части|На 36 частей|На 48 частей|Почкованием
В Манси eштат Индиана СШАk запрещено приносить рыболовную снасть:|На кладбище|В тюрьму|В церковь|На рыбалку
В Корваллисе штата Орегон США молодой девушке законодательно с 7 вечера запрещается:|Купить чашку кофе|Строить глазки|Выкурить сигарету|Выходить на улицу
В каком фильме действовал полковник Кудасов?|"Корона Российской Империи"|"На войне как на войне"|"Служили два товарища"|"Армия Трясогузки"
В девичестве эту знаменитую женщину звали Галина Дьяконова. Каково общеизвестное ее имя?|Дали|Горбачева|Ельцина|Дьяченко
В девичестве эту знаменитую женщину звали Василиса Храпова. Каково общеизвестное ее имя?|Железнова|Ротару|Чепрага|Яровая
В девичестве эту знаменитую женщину звали Алиса Гессен-Дармштадтская. Каково общеизвестное ее имя?|Романова|Сергеева|Петрова|Иванова
В девичестве эту знаменитую женщину звали Александра Домонтович. Каково общеизвестное ее имя?|Коллонтай|Дункан|Триоле|Пугачева
Когда появились первые растения?|2000 млн. л назад|200 млн. л назад|2 млн. л назад|4600 млн. л назад
Кто сказал: "Лесть-это фальшивая монета, которая не имела бы обращения, если бы не наше тщеславие" ?|Ларошфуко|Ницше|Эзоп|Шопенгауэр
Частицы имеющие не спаренные электроны называются...|Радикалы|Анионы|Кварки|Протоны
Каким океаном омывается Земля Франца-Иосифа?|Северный ледовитый|Тихий|Индийский|Атлантический
Как по-другому называется Макао?|Аомынь|Бенин|Мьянма|Кабо-Верде
Как в книгопечатании называют "звездочку", которая обозначает "сноску"?|Астериск|Астроним|Астроида|Астерия
Какой химический элемент используется для получения рубинового стекла для звезд Московского Кремля?|Селен|Кобальт|Железо|Никель
Какой композитор ввел в симфоническое произведение специальный световой ряд, положивший начало светомузыке?|Скрябин|Рахманинов|Прокофьев|Шостакович
Как называется процесс протекает при постоянном давлении ?|Изобарический|Изохорический|Изотермический|Адиабатный
Сколько Ватт в одной лошадиной силе?|736|1063|763|737
Годы жизни императора Михаила Федоровича ?|12.07.1596 - 13.02.1645|6.05.1868 - 17.07.1918|26.02.1845 - 20.10.1894|17.04.1818 - 1.03.1881
Годы жизни императора Алексея Михайловича  ?|19.03.1629 - 30.01.1676|12.07.1596 - 13.02.1645|6.05.1868 - 17.07.1918|26.02.1845 - 20.10.1894
Годы жизни императора Федора Алексеевича ?|30.05.1661 - 27.04.1682|19.03.1629 - 30.01.1676|12.07.1596 - 13.02.1645|6.05.1868 - 17.07.1918
Годы жизни императора Иоанна V Алексеевича ?|27.08.1666 - 29.01.1696|30.05.1661 - 27.04.1682|19.03.1629 - 30.01.1676|12.07.1596 - 13.02.1645
Годы жизни императора Петра I Алексеевича eВеликийk?|30.05.1672 - 28.01.1725|27.08.1666 - 29.01.1696|30.05.1661 - 27.04.1682|19.03.1629 - 30.01.1676
Годы жизни императрицы Екатерины I Алексеевны ?|5.04.1684 - 6.05.1727|30.05.1672 - 28.01.1725|27.08.1666 - 29.01.1696|30.05.1661 - 27.04.1682
Годы жизни императора Петра II Алексеевича ?|12.10.1715 - 18.01.1730|5.04.1684 - 6.05.1727|30.05.1672 - 28.01.1725|27.08.1666 - 29.01.1696
Годы жизни императрицы Анны Иоанновны ?|28.01.1693 - 17.10.1740|12.10.1715 - 18.01.1730|5.04.1684 - 6.05.1727|30.05.1672 - 28.01.1725
Годы жизни императора Иоанны VI Антоновича ?|12.08.1740 - 4.07.1764|28.01.1693 - 17.10.1740|12.10.1715 - 18.01.1730|5.04.1684 - 6.05.1727
Годы жизни императрицы Елизаветы Петровны ?|18.12.1709 - 25.12.1761|12.08.1740 - 4.07.1764|28.01.1693 - 17.10.1740|12.10.1715 - 18.01.1730
Годы жизни императора Петра III Федоровича ?|10.02.1728 - 6.07.1762|18.12.1709 - 25.12.1761|12.08.1740 - 4.07.1764|28.01.1693 - 17.10.1740
Годы жизни императрицы Екатерины II Алексеевны ?|21.04 1729 - 6.11.1796|10.02.1728 - 6.07.1762|18.12.1709 - 25.12.1761|12.08.1740 - 4.07.1764
Годы жизни императора Павела I Петровича ?|20.09.1754 - 12.03.1801|21.04 1729 - 6.11.1796|10.02.1728 - 6.07.1762|18.12.1709 - 25.12.1761
Годы жизни императора Александра I Павловича?|12.12.1777 - 19.11.1825|20.09.1754 - 12.03.1801|21.04 1729 - 6.11.1796|10.02.1728 - 6.07.1762
Годы жизни императора Николая I Павловича?|25.06.1796 - 18.02.1855|12.12.1777 - 19.11.1825|20.09.1754 - 12.03.1801|21.04 1729 - 6.11.1796
Годы жизни императора Александра IIича?|17.04.1818 - 1.03.1881|25.06.1796 - 18.02.1855|12.12.1777 - 19.11.1825|20.09.1754 - 12.03.1801
Годы жизни императора Александра III Александровича?|26.02.1845 - 20.10.1894|17.04.1818 - 1.03.1881|25.06.1796 - 18.02.1855|12.12.1777 - 19.11.1825
Годы жизни императора Николая II Александровича?|6.05.1868 - 17.07.1918|26.02.1845 - 20.10.1894|17.04.1818 - 1.03.1881|25.06.1796 - 18.02.1855
Годы правления императора Михаила Федоровича ?|14.03.1613 - 13.02.1645|21.10.1894 - 2.03.1917|2.03.1881 - 20.10.1894|18.02.1856 - 1.03.1881
Годы правления императора Алексея Михайловича  ?|13.07.1645 - 30.01.1676|14.03.1613 - 13.02.1645|21.10.1894 - 2.03.1917|2.03.1881 - 20.10.1894
Годы правления императора Федора Алексеевича ?|30.01.1676 - 27.04.1682|13.07.1645 - 30.01.1676|14.03.1613 - 13.02.1645|21.10.1894 - 2.03.1917
Годы правления императора Иоанна V Алексеевича ?|25.05.1682 - 29.01.1696|30.01.1676 - 27.04.1682|13.07.1645 - 30.01.1676|14.03.1613 - 13.02.1645
Годы правления императора Петра I Алексеевича eВеликийk?|27.04.1682 - 28.01.1725|25.05.1682 - 29.01.1696|30.01.1676 - 27.04.1682|13.07.1645 - 30.01.1676
Годы правления императрицы Екатерины I Алексеевны ?|28.01.1725 - 6.05.1727|27.04.1682 - 28.01.1725|25.05.1682 - 29.01.1696|30.01.1676 - 27.04.1682
Годы правления императора Петра II Алексеевича ?|7.05.1727 - 18.01.1730|28.01.1725 - 6.05.1727|27.04.1682 - 28.01.1725|25.05.1682 - 29.01.1696
Годы правления императрицы Анны Иоанновны ?|19.01.1730 - 17.10.1740|7.05.1727 - 18.01.1730|28.01.1725 - 6.05.1727|27.04.1682 - 28.01.1725
Годы правления императора Иоанны VI Антоновича ?|17.10.1740 - 25.11.1741|19.01.1730 - 17.10.1740|7.05.1727 - 18.01.1730|28.01.1725 - 6.05.1727
Годы правления императрицы Елизаветы Петровны ?|25.11.1741 - 25.12.1761|17.10.1740 - 25.11.1741|19.01.1730 - 17.10.1740|7.05.1727 - 18.01.1730
Годы правления императора Петра III Федоровича ?|25.12.1761 - 28.06.1762|25.11.1741 - 25.12.1761|17.10.1740 - 25.11.1741|19.01.1730 - 17.10.1740
Годы правления императрицы Екатерины II Алексеевны ?|28.06.1762 - 6.11.1796|25.12.1761 - 28.06.1762|25.11.1741 - 25.12.1761|17.10.1740 - 25.11.1741
Годы правления императора Павела I Петровича ?|6.11.1796 - 12.03.1801|28.06.1762 - 6.11.1796|25.12.1761 - 28.06.1762|25.11.1741 - 25.12.1761
Годы правления императора Александра I Павловича?|12.03.1801 - 19.11.1825|6.11.1796 - 12.03.1801|28.06.1762 - 6.11.1796|25.12.1761 - 28.06.1762
Годы правления императора Николая I Павловича?|14.12.1825 -18.02.1855|12.03.1801 - 19.11.1825|6.11.1796 - 12.03.1801|28.06.1762 - 6.11.1796
Годы правления императора Александра IIича?|18.02.1856 - 1.03.1881|14.12.1825 -18.02.1855|12.03.1801 - 19.11.1825|6.11.1796 - 12.03.1801
Годы правления императора Александра III Александровича?|2.03.1881 - 20.10.1894|18.02.1856 - 1.03.1881|14.12.1825 -18.02.1855|12.03.1801 - 19.11.1825
Годы правления императора Николая II Александровича?|21.10.1894 - 2.03.1917|2.03.1881 - 20.10.1894|18.02.1856 - 1.03.1881|14.12.1825 -18.02.1855
К какому семейству птиц относится снегирь?|Вьюрковые|Жаворонковые|Иволговые|Дроздовые
Кто впервые провёл операцию на сердце?|К. Барнард|А. Эйнштейн|А. Гофман|В. Зарипов
В каком веке в Китае начали добывать железо?|5 век до н.э.|3 век|2 век|4 век до н.э
Сколько человек участвует в исполнении хореографического номера па-де-катр?|4|5|3|2
Как называется самый большой по величине колокол на звоннице Ростовского кремля ?|Сысой|Лебедь|Полиелей|Баран
В каком году был открыт вирус "СПИДА"? |В 1981|В 1976|В 1985|В 1979
Куда ведёт мост Вздохов в Италии ?|В тюрьму|В огород|В другую часть города|В музей
Что такое полидактилия?|Появление лишних пальцев|Разновидность рака|Боязнь крови|Отсутствие нервной системы
Что не является обязательным для построения локальной компьютерной сети ?|Модем|Кабель|Разъем|Адаптер
Один из основных обрядов в Исламе ?|Паломничество|Мирадж|Молитва|Пятница
Кем в первой половине XIX века во Франции были "барбизонцы" ?|Художники|Музыканты|Революционеры|Писатели
Как звучит буквальный перевод с французского юридического термина "форс-мажор" ?|Непреодолимая сила|Внезапное событие|Изменение условий|Безвыходная ситуация
Годы жизни Михаила Евграфовича Салтыкова-Щедрина ?|1826-1889|1835-1898|1817-1880|1824-1885
Какая следующая цифра в числе 3.1415926... ?|5|1|0|8
Содом и Гоморра погибли?|В понедельник|В воскресенье|В субботу|На Пасху
Какая из этих поэтесс сказала, что из Владимира Набокова никогда не получится писатель?|Зинаида Гиппиус|Марина Цветаева|Анна Ахматова|Мирра Лохвицкая
Какой стране принадлежат Шантарские острова?|Россия|Индонезия|Филиппины|Въетнам
Как теперь называется Порт-Артур?|Люйшунь|Циндао|Яньтай|Ляньюньган
Если конь гнедой, с желтоватыми подпалинами, то какой он масти?|Мухортый|Чагравый|Чубарый|Пегий
На какой из этих планет сила тяжести меньше, чем на Земле?|Уран|Юпитер|Сатурн|Нептун
Как в старину называлась хлопчатобумажная ткань в полоску?|Канифас|Канаус|Мухояр|Тармалама
Как называется жанр буколики: диалоги между пастухами, селянами?|Эклога|Панегирик|Оксюморон|Идиллия
Как называлась самая мелкая, неделимая денежная единица в Древней Руси?|Веверица|Резана|Куна|Ногата
Как известно, харит eграцийk было три. Кто тут четвертый "лишний"?|Клио|Талия|Ефросина|Аглая
Какого созвездия не существует?|Ворон|Орел|Павлин|Журавль
Какое из этих племен - германское, а не кельтское?|Англы|Белги|Секваны|Бритты
Кто из этих правителей не был потомком Чингисхана?|Мамай|Батый|Джучи|Узбек
Кто такие были "Берендеи"?|Тюркское племя|Славянское племя|Угорское племя|Скандинавское племя
От слова какого языка произошло слово "сарафан"?|Персидский|Монгольский|Татарский|Турецкий
Назовите приблизительную длину Суэцкого канала.|160 км|120 км|140 км|180 км
Где находится Рокфеллер Плато?|Антарктида|Аляска|Канада|Гавайи
Какое российское флотское звание было у Витуса Беринга?|Капитан-командор|Контр-адмирал|Вице-адмирал|Капитан 1 ранга
Как называется яркая звезда - альфа Южной Рыбы?|Фомальгаут|Ахернар|Ригель|Бетельгейзе
Как назывались песни, сопровождающие гадания?|Подблюдные|Подчарные|Подчашные|Подзеркальные
Какие из этих живых существ - птицы семейства трясогузковых?|Коньки|Кобылки|Волчки|Медведки
Назовите основателя в Индии династии Великих Монголов.|Бабур|Джахангир|Акбар|Улугбек
Убитый сторонниками Святополка и впоследствии канонизированный вместе с братом Глебом Борис был князем ...|Ростовским|Суздальским|Муромским|Рязанским
Кому из этих английских писателей была присуждена Нобелевская премия?|Уильям Голдинг|Грэм Грин|Джеймс Олдридж|Ивлин Во
В какой из этих стран подоходный налог отсутствует вовсе?|Бахрейн|ОАЭ|Кувейт|Оман
Назовите национальность участника Гражданской войны в России Олеко Дундича.|Хорват|Серб|Черногорец|Словенец
Лейб-медиком какого французского короля был Нострадамус?|Карла IX|Людовика XI|Генриха III|Франциска I
Назовите псевдоним Стивена Кинга, под которым он написал 6 неплохих романов.|Ричард Бахман|Джон Фешоу|Билл Пибоди|Рекс Стаут
Выберите правильный вариант написания?|Трансцендентная трембита|Трансциндентная тримбита|Трансцендентная тримбита|Трансциндентная трембита
После какой работы Пушкина, Жуковский написал ему: "От побежденного учителя победителю ученику"?|"Руслан и Людмила"|"Борис Годунов"|"Евгений Онегин"|"Капитанская дочка"
При выпуске какого романа В. В. Набоков действительно прославился?|"Лолита"|"Дар"|"Ада"|"Истинная жизнь..."
